period_years,psd
2.000000,29.564190
2.068966,54.103665
2.142857,34.664537
2.222222,19.143062
2.307692,31.384116
2.400000,19.738958
2.500000,14.679895
2.608696,37.158414
2.727273,43.936305
2.857143,40.189591
3.000000,27.713251
3.157895,15.182353
3.333333,35.971071
3.529412,48.917643
3.750000,17.157593
4.000000,12.532880
4.285714,16.944219
4.615385,20.155214
5.000000,28.304325
5.454545,34.067559
6.000000,106.752161
6.666667,115.032669
7.500000,91.586544
8.571429,129.985491
10.000000,54.562700
12.000000,60.508894
15.000000,97.913281
20.000000,114.372567
30.000000,66.510751
60.000000,22.686897
