asset,start_year,is_window,cagr_10y_pct,rank,rank_total
A_shares,1999,True,4.7342,10.0000,20.0000
A_shares,2008,True,-4.5439,20.0000,20.0000
A_shares,2019,True,,,
A_shares,BASELINE_MEAN,False,5.3325,,20.0000
A_shares,BASELINE_MEDIAN,False,4.1277,,20.0000
A_shares,BEST_1998,False,15.9950,1.0000,20.0000
A_shares,WORST_2008,False,-4.5439,20.0000,20.0000
SP500,1999,True,-3.0353,20.0000,20.0000
SP500,2008,True,6.1802,10.0000,20.0000
SP500,2019,True,,,
SP500,BASELINE_MEAN,False,6.1510,,20.0000
SP500,BASELINE_MEDIAN,False,5.8087,,20.0000
SP500,BEST_2012,False,14.2477,1.0000,20.0000
SP500,WORST_1999,False,-3.0353,20.0000,20.0000
Beijing_Housing,1999,True,11.1676,14.0000,16.0000
Beijing_Housing,2008,True,15.7474,7.0000,16.0000
Beijing_Housing,2019,True,,,
Beijing_Housing,BASELINE_MEAN,False,14.2480,,16.0000
Beijing_Housing,BASELINE_MEDIAN,False,15.1276,,16.0000
Beijing_Housing,BEST_2004,False,19.2028,1.0000,16.0000
Beijing_Housing,WORST_2014,False,8.1152,16.0000,16.0000
Gold,1999,True,11.7797,5.0000,20.0000
Gold,2008,True,4.2136,13.0000,20.0000
Gold,2019,True,,,
Gold,BASELINE_MEAN,False,8.0493,,20.0000
Gold,BASELINE_MEDIAN,False,6.4807,,20.0000
Gold,BEST_2002,False,18.8659,1.0000,20.0000
Gold,WORST_2013,False,0.9444,20.0000,20.0000
